297,0,5,117
13298,0,5,103
13300,0,4,87
13302,1,6,79
13303,2,5,68
13305,0,6,64
13306,1,2,60
START

3,0,3,82
4,0,5,89
6,1,4,105
7,0,6,116
8,0,4,131
10,0,4,149
11,0,4,163
13,0,4,173
14,1,3,189
16,0,5,199
17,0,5,207
19,0,3,214
20,0,4,212
22,-2,4,211
23,0,3,203
25,0,2,192
26,0,2,182
28,1,4,165
29,0,4,157
31,0,6,140
32,0,3,123
34,1,3,108
35,0,4,95
37,1,5,85
38,1,5,75
40,0,6,67
41,0,3,64
44,2,4,62
45,0,4,58
47,0,3,56
48,0,4,59
50,0,4,64
51,0,4,69
52,0,6,80
54,2,4,93
55,0,4,103
57,2,3,117
58,0,5,131
60,0,3,150
61,0,4,162
63,0,3,179
64,0,2,189
66,0,5,203
67,1,1,207
69,0,4,214
70,0,3,212
72,-2,3,209
73,0,3,201
75,0,2,192
76,0,1,179
78,2,2,166
79,0,2,153
81,1,2,136
82,0,3,121
84,0,1,108
86,0,7,96
88,0,5,83
89,0,4,78
91,0,6,66
92,3,4,63
94,1,4,60
95,0,8,59
97,1,7,57
98,0,4,61
100,1,2,67
101,0,3,74
103,2,3,83
104,1,5,92
106,0,3,108
107,0,3,122
109,0,4,136
110,0,5,151
112,1,3,167
113,0,4,184
115,0,4,193
116,0,4,204
118,0,3,210
119,0,4,214
121,0,4,212
123,0,6,206
124,0,4,196
126,1,2,187
128,0,3,170
130,0,2,158
131,0,3,140
133,0,4,127
134,2,2,109
136,0,5,95
138,0,4,86
139,1,4,75
141,0,6,68
142,0,3,65
144,3,4,62
145,0,5,59
146,-3,5,59
148,1,6,64
149,1,3,68
151,1,4,75
152,1,5,87
154,0,5,97
155,0,5,105
157,0,2,120
159,1,3,138
160,0,3,156
162,0,3,170
163,0,1,186
165,0,4,195
166,0,3,207
168,0,3,210
169,-2,3,212
172,0,2,212
174,0,4,204
175,0,1,194
177,0,4,185
178,0,4,173
180,0,3,155
181,0,5,139
183,0,4,122
184,0,4,107
186,1,2,95
187,0,6,86
189,1,3,76
190,0,6,71
192,0,5,63
193,1,4,59
195,3,4,53
196,0,4,58
198,1,4,65
199,0,6,68
201,1,4,73
202,1,2,86
204,0,3,96
205,0,5,110
207,3,3,128
209,0,1,145
210,0,5,159
212,0,3,174
214,-3,3,188
216,0,1,199
217,0,5,210
219,0,2,210
220,0,6,213
222,0,3,209
224,0,0,201
225,0,2,194
227,0,1,184
228,0,3,164
230,0,4,150
231,0,1,135
233,0,1,121
234,0,4,103
236,0,0,95
237,2,3,83
239,0,3,76
240,0,7,66
242,0,4,61
243,0,6,59
245,0,3,55
246,1,4,59
248,1,3,60
249,0,4,69
251,0,6,76
252,0,3,85
254,0,5,100
257,1,2,111
258,0,6,128
260,0,3,146
261,-3,5,157
263,0,4,175
264,1,3,188
266,0,2,201
267,0,4,207
269,0,3,214
270,0,3,214
272,1,1,211
274,0,2,204
275,0,3,192
277,0,4,176
278,0,4,166
280,0,4,149
281,0,3,134
283,0,5,120
284,0,5,102
286,0,3,92
288,0,3,80
289,1,6,70
291,0,2,65
292,0,5,60
293,1,3,59
295,0,4,59
296,0,5,59
299,1,4,64
300,0,4,68
302,0,3,79
303,0,4,91
305,0,6,99
306,0,3,112
308,0,2,126
310,0,0,144
311,1,2,160
313,0,3,176
314,1,1,190
316,0,2,203
317,0,4,209
319,0,4,214
320,0,4,212
322,1,3,210
324,0,2,200
325,0,3,192
327,0,4,179
328,0,3,163
330,0,5,147
331,0,5,131
333,0,4,118
334,0,5,106
336,0,6,91
337,0,4,81
339,0,6,72
340,1,1,64
343,3,2,59
344,0,4,59
346,1,4,58
347,0,5,58
349,0,4,65
350,1,7,73
352,0,5,78
353,0,3,90
355,0,4,103
357,1,4,117
358,0,2,134
360,0,4,150
361,0,4,164
363,0,5,180
364,0,4,194
366,1,2,204
367,0,2,209
369,0,4,211
371,0,3,214
372,0,6,205
374,0,3,198
375,0,2,188
377,0,4,173
378,-2,5,161
380,1,3,142
381,1,2,128
384,0,2,113
385,0,6,100
387,0,5,89
389,0,1,78
390,0,6,69
392,1,2,66
393,3,2,63
395,0,3,60
396,0,2,59
398,0,4,62
399,0,5,63
401,0,3,73
402,1,4,82
404,0,3,93
405,1,4,105
407,0,3,120
408,0,4,134
410,0,4,153
411,1,3,165
413,1,3,181
414,0,4,192
416,0,3,203
417,2,3,211
419,0,4,214
421,0,4,212
422,0,2,207
424,0,2,198
425,0,3,188
428,0,4,173
429,1,4,159
431,0,0,146
432,1,3,128
434,0,3,115
436,0,2,101
437,0,6,89
439,0,2,77
440,0,4,69
442,0,4,64
443,0,3,59
445,0,1,59
446,3,4,55
448,0,3,62
449,1,1,65
451,0,7,72
452,0,4,83
454,0,3,92
455,0,4,108
457,0,3,123
458,0,5,136
460,0,1,156
461,1,2,171
463,-2,4,185
464,0,5,197
466,0,1,207
467,-2,1,214
470,0,3,216
472,0,2,208
473,0,6,204
475,0,4,199
476,0,4,182
478,0,2,172
479,0,2,155
481,0,3,138
482,0,4,126
484,0,3,108
486,0,3,97
487,1,5,87
489,0,4,78
490,1,5,69
492,0,1,64
493,1,4,60
495,2,2,59
496,0,5,59
497,1,3,62
499,0,4,65
501,0,4,74
502,0,3,84
503,0,1,95
505,0,4,108
507,0,3,125
508,0,4,137
510,1,3,156
512,0,2,167
514,0,4,184
515,0,2,196
517,0,3,204
518,0,2,210
520,1,3,214
522,0,3,211
523,0,3,206
525,0,4,195
526,0,5,182
528,2,3,169
529,0,6,154
531,-3,3,136
532,0,4,120
534,1,2,109
536,0,3,96
537,0,3,84
539,0,6,76
540,0,5,67
542,0,3,64
543,0,4,58
544,2,4,59
546,0,6,59
547,0,4,64
549,1,4,66
550,2,1,78
552,0,6,83
553,0,6,100
556,0,2,112
558,0,5,127
559,0,6,146
561,-2,6,158
562,3,3,174
564,0,3,188
565,0,3,199
567,0,2,207
568,0,3,213
570,0,3,212
572,2,1,208
573,0,1,204
575,0,2,195
576,0,4,181
578,0,4,168
579,0,2,153
581,0,3,135
582,0,0,116
584,0,4,107
586,0,3,96
587,0,2,84
589,0,3,74
590,0,1,63
592,0,5,60
593,0,4,57
595,0,6,57
596,0,2,59
599,0,4,65
600,0,4,68
602,0,3,76
603,0,5,87
605,1,2,97
606,0,4,113
608,3,2,128
609,1,3,143
611,0,1,161
612,-2,2,176
614,0,3,192
615,0,2,202
617,1,5,206
618,0,4,212
620,0,3,214
622,0,3,211
623,0,3,202
625,0,2,192
626,0,4,179
628,0,2,163
629,0,2,148
631,1,4,133
632,-2,4,118
634,0,4,104
636,2,3,91
637,0,3,82
640,2,4,74
641,1,4,65
643,0,4,62
644,2,2,59
646,0,4,54
647,0,6,62
649,0,6,63
650,0,3,66
652,0,3,78
653,0,3,92
655,-2,7,99
656,0,4,115
658,0,3,129
659,0,4,145
661,0,4,160
662,0,2,176
664,0,3,192
665,1,3,203
667,0,3,208
668,0,3,210
670,0,3,210
672,3,0,210
673,0,4,201
675,0,3,190
676,-2,4,179
678,0,4,162
679,0,4,150
681,0,2,131
683,2,3,118
685,0,3,103
687,0,6,91
688,0,4,80
690,2,3,72
691,0,4,65
692,2,4,62
694,0,4,59
695,0,6,57
697,0,6,61
698,0,3,63
700,0,7,71
701,0,5,78
703,0,4,92
704,0,3,103
706,1,2,115
708,1,3,132
709,0,4,149
711,0,1,164
712,1,3,179
714,0,3,193
715,-2,4,203
717,0,2,208
718,2,1,211
720,0,4,212
722,0,5,210
723,0,5,199
726,0,4,193
727,0,2,177
729,0,1,162
730,0,5,147
732,0,4,129
733,0,2,117
735,0,3,100
737,0,4,89
738,1,4,78
740,0,5,70
741,0,6,64
743,0,4,60
744,1,5,58
745,0,0,60
747,0,3,61
748,0,2,64
750,0,4,70
752,0,5,80
753,0,1,91
754,2,4,104
756,0,5,119
758,1,3,135
759,-2,6,152
761,-2,4,165
762,0,3,182
764,0,4,194
765,0,4,203
768,0,3,209
769,0,5,212
771,0,3,212
773,1,2,205
774,0,5,197
776,1,3,188
777,-2,4,176
779,0,3,159
780,0,4,140
782,0,0,126
783,0,6,110
785,1,3,97
787,0,1,86
788,1,4,76
790,0,5,72
791,2,4,64
793,0,4,60
794,0,4,56
796,0,6,58
797,0,4,61
799,0,4,64
800,0,6,72
802,0,4,83
803,0,4,90
805,0,2,106
806,0,3,121
808,0,6,135
809,1,2,150
812,2,1,167
813,1,3,182
815,0,2,196
