561,0,4,79
563,0,3,105
565,0,4,142
566,0,2,176
568,0,5,212
569,0,3,248
571,0,2,280
572,0,3,301
574,0,4,314
575,0,3,317
577,0,6,310
579,1,0,294
580,0,2,266
582,0,1,239
583,0,2,204
585,0,2,167
586,0,1,135
588,0,2,105
589,0,3,76
591,0,2,53
592,1,4,31
594,0,5,17
595,0,1,7
598,2,4,-3
599,2,4,-11
601,0,5,-14
602,2,6,-16
604,3,6,-8
605,1,3,2
607,2,3,12
608,0,4,28
610,1,3,50
611,0,4,76
613,1,2,107
614,0,4,142
616,0,2,179
617,0,4,215
619,0,3,249
620,1,4,279
622,0,4,303
624,0,4,315
625,0,1,320
627,0,1,310
628,0,3,293
630,0,4,266
631,0,2,232
633,0,3,199
634,0,0,164
636,0,2,131
638,0,3,104
640,1,1,75
642,0,5,50
643,0,4,35
645,0,7,16
646,1,4,3
648,0,6,-4
649,0,5,-11
651,1,5,-14
652,1,4,-15
654,1,6,-7
655,0,5,1
657,0,6,7
658,2,4,30
659,0,7,51
661,0,5,77
662,0,5,105
664,0,6,136
666,0,3,175
667,0,0,210
669,0,2,245
670,0,3,277
672,0,3,300
673,0,4,311
675,0,1,316
676,0,5,311
678,0,2,293
680,0,5,270
681,0,2,238
684,0,4,203
685,0,3,172
687,1,5,136
688,0,4,107
690,0,4,76
691,1,3,53
693,1,5,32
694,0,3,19
696,0,5,3
697,0,8,-4
699,0,6,-9
700,3,4,-15
702,2,5,-13
703,0,7,-7
705,0,9,-2
706,0,8,12
708,0,5,31
709,0,6,48
711,1,3,73
712,0,2,104
714,0,3,137
715,0,5,177
717,0,3,213
718,0,0,249
720,1,1,275
722,-2,3,300
723,-2,2,314
726,0,3,316
727,0,1,312
729,0,2,291
730,0,3,269
732,1,0,237
733,1,2,204
735,1,2,166
737,0,6,134
738,0,4,101
740,0,2,76
741,0,1,56
743,0,5,31
744,0,6,16
746,0,4,7
747,0,3,-3
749,1,4,-10
750,0,7,-13
752,2,3,-10
753,2,6,-10
755,0,7,0
756,0,7,10
758,2,3,25
759,0,3,50
761,0,3,74
762,0,4,105
764,1,2,141
765,0,2,179
768,0,3,217
769,0,5,251
771,0,2,278
772,0,3,301
774,0,1,316
776,0,3,319
777,0,3,310
779,0,3,290
780,0,2,268
782,0,2,235
783,1,5,200
785,0,3,166
786,1,2,132
788,0,3,101
789,0,3,74
791,0,6,50
793,0,7,36
794,1,4,17
795,0,5,5
797,1,5,-2
798,1,4,-10
800,0,5,-12
801,1,5,-14
803,1,5,-8
804,1,5,0
806,1,3,10
807,0,4,28
809,1,4,50
811,0,3,76
813,0,5,107
814,0,3,138
816,1,3,173
818,0,4,208
819,0,4,248
821,0,3,275
822,3,0,299
824,0,2,313
825,0,2,319
827,0,1,315
828,0,0,296
830,-2,1,273
831,0,4,241
