
,1,309
557,2,4,-8
558,2,4,6
560,0,5,22
561,0,6,52
563,0,4,82
564,0,4,118
566,1,4,159
567,1,2,202
569,0,3,244
570,0,3,282
572,0,1,313
573,-3,3,335
575,0,0,345
577,0,3,341
578,0,2,324
580,0,1,299
581,1,2,270
583,0,3,231
584,0,2,189
586,0,3,151
587,0,3,116
589,0,4,83
591,0,7,60
592,1,4,35
594,1,4,14
595,0,5,0
596,0,7,-16
599,1,5,-18
600,0,4,-30
602,1,3,-30
604,2,2,-27
605,0,4,-20
607,1,5,-8
608,0,6,3
609,0,4,26
611,0,5,52
612,0,4,83
614,0,3,117
615,1,1,156
617,0,3,194
619,-2,4,237
620,0,0,278
622,0,0,311
623,3,0,331
625,0,0,344
626,0,3,343
628,0,1,329
629,0,0,306
631,0,2,272
633,0,3,236
634,0,1,193
636,0,0,159
637,0,2,122
640,0,2,86
641,-2,4,58
643,0,5,31
644,4,1,15
646,0,6,0
647,1,4,-14
649,1,4,-24
650,3,6,-30
652,2,5,-28
653,2,4,-26
655,1,5,-22
656,3,5,-11
658,1,8,3
659,0,3,28
661,0,4,49
662,0,3,79
664,0,3,114
665,0,5,155
667,0,3,199
668,0,3,242
670,1,3,281
671,0,2,311
673,0,2,332
675,0,4,345
676,3,4,344
678,0,2,327
679,0,1,305
681,0,2,270
683,1,3,234
685,0,3,192
686,1,3,153
688,0,2,115
690,0,6,88
691,0,3,55
693,1,3,31
694,2,3,17
696,0,4,0
697,1,5,-13
698,0,5,-27
700,0,6,-28
701,0,4,-32
703,0,4,-28
705,1,8,-21
706,1,4,-8
707,0,6,3
709,1,4,22
710,1,3,47
712,0,2,83
713,0,2,111
715,-3,6,151
717,0,2,194
718,0,4,232
720,1,2,276
721,-2,3,312
723,0,1,331
724,1,0,344
727,0,3,344
728,0,4,330
730,0,3,307
732,0,3,275
733,0,4,237
735,-4,4,200
736,0,3,160
738,0,3,120
739,0,0,87
741,1,6,58
742,0,6,35
744,0,3,13
745,0,6,0
747,0,3,-13
748,0,5,-20
750,0,6,-27
751,1,4,-28
753,2,5,-24
754,1,5,-24
756,0,4,-10
757,0,6,4
759,1,4,25
760,1,1,48
762,1,3,79
763,0,3,112
765,1,4,157
766,0,2,200
769,0,3,237
770,0,3,276
772,0,5,308
774,0,1,333
775,3,3,346
777,0,2,343
778,0,1,326
780,0,3,304
781,0,1,267
783,0,2,234
784,0,2,196
786,0,1,158
788,0,4,118
789,0,4,87
791,0,1,57
792,0,5,34
794,0,5,16
795,0,4,0
797,2,3,-17
798,2,4,-22
800,0,6,-25
801,1,4,-28
803,4,3,-28
804,1,3,-22
806,2,5,-14
807,0,4,5
808,0,3,22
811,0,7,45
812,0,3,81
814,0,4,119
816,0,3,156
817,0,6,196
819,0,4,240
820,0,2,279
822,0,0,313
823,0,2,333
825,0,2,345
826,0,3,344
828,0,4,327
830,1,3,302
831,0,3,269
833,-3,3,233
834,0,3,191
836,1,4,152
837,-2,1,124
839,0,5,92
840,0,4,59
842,1,5,36
843,1,6,15
845,1,5,0
846,1,4,-8
848,2,6,-22
849,2,5,-28
851,2,4,-30
852,1,4,-26
855,0,6,-21
856,1,4,-12
858,1,3,1
859,0,6,24
861,0,3,48
862,-2,6,78
864,0,2,112
865,0,5,153
867,0,4,193
868,0,2,233
870,1,1,277
871,-2,3,308
873,2,3,327
875,0,0,343
876,0,4,342
878,0,1,332
879,0,3,305
881,0,1,274
882,0,0,236
884,0,4,195
885,-3,3,156
887,2,1,121
889,0,3,89
890,-2,7,61
892,2,6,35
893,2,0,21
896,2,7,3
897,0,6,-12
899,1,5,-20
900,2,7,-29
902,1,9,-32
903,2,3,-24
905,2,4,-24
906,0,3,-12
908,1,6,4
909,0,5,20
910,0,3,45
912,0,4,78
913,0,5,114
915,0,4,153
917,0,2,198
918,0,4,240
920,-2,5,275
921,0,3,311
923,0,2,331
924,0,1,344
926,0,1,344
927,0,2,329
929,0,4,303
931,1,2,272
932,0,2,234
934,0,3,195
935,0,7,156
937,0,4,119
939,1,1,86
941,0,2,61
942,0,6,39
944,0,6,16
945,1,6,0
947,2,5,-14
948,0,5,-20
950,2,6,-28
951,1,4,-28
953,1,6,-28
954,1,7,-20
956,3,3,-11
957,1,5,2
959,1,3,22
960,2,4,47
962,0,3,82
963,0,4,108
965,0,5,150
966,0,3,190
968,0,3,233
969,0,2,273
971,0,1,308
973,0,3,329
974,0,2,343
976,0,3,346
977,0,0,332
979,-2,4,311
980,0,4,275
983,0,2,242
984,0,2,200
986,0,3,160
988,-3,4,124
989,0,4,88
991,1,1,61
992,0,5,33
994,0,6,15
995,3,4,3
997,4,5,-12
